year,avg_temp,ma
1918,8.13,8.203599999999998
1919,8.38,8.202599999999997
1920,8.36,8.205799999999998
1921,8.57,8.214799999999999
1922,8.41,8.219199999999999
1923,8.42,8.220599999999997
1924,8.51,8.222199999999997
1925,8.53,8.235599999999998
1926,8.73,8.248599999999998
1927,8.52,8.248199999999997
1928,8.63,8.244199999999998
1929,8.24,8.245599999999998
1930,8.63,8.255799999999997
1931,8.72,8.264799999999997
1932,8.71,8.276399999999997
1933,8.34,8.283599999999996
1934,8.63,8.300799999999997
1935,8.52,8.312799999999996
1936,8.55,8.324799999999996
1937,8.7,8.340599999999997
1938,8.86,8.355999999999996
1939,8.76,8.364799999999997
1940,8.76,8.380599999999996
1941,8.77,8.395599999999996
1942,8.73,8.408799999999996
1943,8.76,8.422799999999997
1944,8.85,8.436599999999997
1945,8.58,8.445199999999996
1946,8.68,8.454599999999997
1947,8.8,8.464799999999997
1948,8.75,8.476199999999997
1949,8.59,8.479999999999997
1950,8.37,8.477399999999996
1951,8.63,8.479199999999997
1952,8.64,8.485999999999995
1953,8.87,8.498999999999995
1954,8.56,8.508399999999996
1955,8.63,8.516399999999996
1956,8.28,8.514399999999995
1957,8.73,8.529999999999996
1958,8.77,8.541599999999995
1959,8.73,8.552599999999995
1960,8.58,8.559799999999994
1961,8.8,8.572199999999995
1962,8.75,8.583799999999995
1963,8.86,8.594999999999994
1964,8.41,8.591399999999995
1965,8.53,8.590199999999996
1966,8.6,8.597599999999995
1967,8.7,8.611199999999995
1968,8.52,8.618999999999994
1969,8.6,8.623399999999997
1970,8.7,8.630199999999995
1971,8.6,8.630799999999995
1972,8.5,8.632599999999995
1973,8.95,8.643199999999995
1974,8.47,8.642399999999995
1975,8.74,8.646599999999996
1976,8.35,8.638999999999996
1977,8.85,8.645599999999996
1978,8.69,8.646799999999997
1979,8.73,8.656599999999997
1980,8.98,8.663599999999997
1981,9.17,8.672599999999997
1982,8.64,8.671199999999997
1983,9.03,8.684999999999997
1984,8.69,8.686199999999998
1985,8.66,8.688999999999998
1986,8.83,8.694599999999998
1987,8.99,8.700399999999998
1988,9.2,8.707199999999998
1989,8.92,8.710399999999998
1990,9.23,8.7198
1991,9.18,8.728
1992,8.84,8.730199999999998
1993,8.87,8.732399999999998
1994,9.04,8.736199999999998
1995,9.35,8.7516
1996,9.04,8.7588
1997,9.2,8.7668
1998,9.52,8.7822
1999,9.29,8.7962
2000,9.2,8.8128
2001,9.41,8.8284
2002,9.57,8.847000000000001
2003,9.53,8.860199999999999
2004,9.32,8.875399999999999
2005,9.7,8.896799999999999
2006,9.53,8.9218
2007,9.73,8.941799999999999
2008,9.43,8.955
2009,9.51,8.9706
2010,9.7,8.993
2011,9.52,9.007399999999999
2012,9.51,9.022599999999999
2013,9.61,9.0376
2014,9.57,9.060799999999999
2015,9.83,9.086799999999998
